UID,iso2,iso3,code3,FIPS,Admin2,Lat,Combined_Key,Date,Case,Long,Country/Region,Province/State
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-21,9,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-22,9,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-23,9,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-24,10,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-25,12,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-26,14,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-27,23,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-28,33,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-29,38,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-30,41,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-03-31,41,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-04-01,46,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-04-02,91,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-04-03,94,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-04-04,101,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-04-05,116,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-04-06,120,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-04-07,126,-78.74777412,US,New York
84036063,US,USA,840,36063,Niagara,43.19898042,"Niagara, New York, US",2020-04-08,155,-78.74777412,US,New York
